,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2010-05-01,11044960,11044960,3490660,3490660,1.0,0.3160409815879822,0.3160409815879822
2010-05-02,8849097,8849097,2967822,2967822,1.0,0.3353813389094955,0.3353813389094955
2010-05-03,11287455,11287455,3290849,3290849,1.0,0.29154924648647546,0.29154924648647546
2010-05-04,10984234,10984234,3098507,3098507,1.0,0.28208676180787845,0.28208676180787845
2010-05-05,10825229,10825229,3087384,3087384,1.0,0.2852026502164527,0.2852026502164527
2010-05-06,11363447,11363447,3185244,3185244,1.0,0.2803061430215673,0.2803061430215673
2010-05-07,11798369,11798369,3258859,3258859,1.0,0.27621266973426584,0.27621266973426584
2010-05-08,10546886,10546886,2985714,2985714,1.0,0.2830896247480062,0.2830896247480062
2010-05-09,8704730,8704730,2681521,2681521,1.0,0.3080533227337321,0.3080533227337321
2010-05-10,11932836,11932836,3317694,3317694,1.0,0.2780306374779642,0.2780306374779642
2010-05-11,10662779,10662779,2811520,2811520,1.0,0.2636761016991912,0.2636761016991912
2010-05-12,10345095,10345095,2672852,2672852,1.0,0.25836901449430866,0.25836901449430866
2010-05-13,10468798,10468798,2728946,2728946,1.0,0.26067424359511,0.26067424359511
2010-05-14,11600476,11600476,3051358,3051358,1.0,0.26303730984832,0.26303730984832
2010-05-15,10904516,10904516,3089318,3089318,1.0,0.28330629254888523,0.28330629254888523
2010-05-16,8506842,8506842,2576814,2576814,1.0,0.3029107628894483,0.3029107628894483
2010-05-17,11121683,11121683,2926610,2926610,1.0,0.2631445258779629,0.2631445258779629
2010-05-18,10840391,10840391,2820752,2820752,1.0,0.2602075884532209,0.2602075884532209
2010-05-19,10777541,10777541,2789051,2789051,1.0,0.2587836130709222,0.2587836130709222
2010-05-20,10827789,10827789,2771681,2771681,1.0,0.25597848277242935,0.25597848277242935
2010-05-21,11459391,11459391,2984969,2984969,1.0,0.260482341513611,0.260482341513611
2010-05-22,10451022,10451022,2950064,2950064,1.0,0.28227516887822074,0.28227516887822074
2010-05-23,8260272,8260272,2523433,2523433,1.0,0.30549030346700445,0.30549030346700445
2010-05-24,10628037,10628037,2756196,2756196,1.0,0.25933255595553534,0.25933255595553534
2010-05-25,10732483,10732483,2752215,2752215,1.0,0.2564378625151328,0.2564378625151328
2010-05-26,10709893,10709893,2737340,2737340,1.0,0.2555898550993927,0.2555898550993927
2010-05-27,10719399,10719399,2728719,2728719,1.0,0.2545589542846572,0.2545589542846572
2010-05-28,11667749,11667749,3039308,3039308,1.0,0.2604879484466113,0.2604879484466113
2010-05-29,10903316,10903316,3103302,3103302,1.0,0.28462001835038075,0.28462001835038075
2010-05-30,8575500,8575500,2652674,2652674,1.0,0.309331700775465,0.309331700775465
2010-05-31,10551035,10551035,2667333,2667333,1.0,0.2528029714620414,0.2528029714620414
2010-06-01,10610985,10610985,2687960,2687960,1.0,0.2533186127395336,0.2533186127395336
2010-06-02,10610985,10610985,2687960,2687960,1.0,0.2533186127395336,0.2533186127395336
2010-06-03,10551035,10551035,2667333,2667333,1.0,0.2528029714620414,0.2528029714620414
2010-06-04,11007455,11007455,2832551,2832551,1.0,0.25733023664416527,0.25733023664416527
2010-06-05,10355765,10355765,2985028,2985028,1.0,0.2882479469165243,0.2882479469165243
2010-06-06,8043360,8043360,2491713,2491713,1.0,0.3097850898132124,0.3097850898132124
2010-06-07,10794724,10794724,2868483,2868483,1.0,0.26573009184857344,0.26573009184857344
2010-06-08,10675345,10675345,2805062,2805062,1.0,0.26276078197004404,0.26276078197004404
2010-06-09,10430229,10430229,2728182,2728182,1.0,0.26156491866094217,0.26156491866094217
2010-06-10,10549898,10549898,2761765,2761765,1.0,0.2617812039509766,0.2617812039509766
2010-06-11,10750865,10750865,2816846,2816846,1.0,0.2620111032926188,0.2620111032926188
2010-06-12,10017894,10017894,2828796,2828796,1.0,0.2823743193928784,0.2823743193928784
2010-06-13,7993628,7993628,2452330,2452330,1.0,0.30678560473417077,0.30678560473417077
2010-06-14,10308965,10308965,2601837,2601837,1.0,0.25238586026822285,0.25238586026822285
2010-06-15,10212897,10212897,2498966,2498966,1.0,0.24468728118965657,0.24468728118965657
2010-06-16,10147289,10147289,2531197,2531197,1.0,0.24944564011136375,0.24944564011136375
2010-06-17,9988522,9988522,2508724,2508724,1.0,0.2511606822310648,0.2511606822310648
2010-06-18,10673443,10673443,2740547,2740547,1.0,0.25676316442594954,0.25676316442594954
2010-06-19,10180406,10180406,2851328,2851328,1.0,0.28007998895132474,0.28007998895132474
2010-06-20,8665717,8665717,2639734,2639734,1.0,0.304618071418672,0.304618071418672
2010-06-21,10346609,10346609,2665357,2665357,1.0,0.25760681591427687,0.25760681591427687
2010-06-22,10059886,10059886,2542489,2542489,1.0,0.2527353689693899,0.2527353689693899
2010-06-23,10107643,10107643,2567759,2567759,1.0,0.25404132298697135,0.25404132298697135
2010-06-24,10056456,10056456,2565723,2565723,1.0,0.25513192719184574,0.25513192719184574
2010-06-25,10487737,10487737,2671556,2671556,1.0,0.25473140678489553,0.25473140678489553
2010-06-26,9802479,9802479,2711206,2711206,1.0,0.2765837090801215,0.2765837090801215
2010-06-27,7789677,7789677,2340617,2340617,1.0,0.30047677201506556,0.30047677201506556
2010-06-28,10375768,10375768,2670509,2670509,1.0,0.25737940555340094,0.25737940555340094
2010-06-29,10251725,10251725,2623082,2623082,1.0,0.255867378416803,0.255867378416803
2010-06-30,10673275,10673275,2726716,2726716,1.0,0.25547135251363806,0.25547135251363806
